id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
708588191650480073,Condo in Athina · ★4.80 · 2 bedrooms · 2 beds · 2 baths,112635016,Alexandros,,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.9664229,23.7256256,Entire home/apt,162,2,10,2023-06-12,1.20,4,336,10,00001774162
708634568888721224,Condo in Athina · ★5.0 · 2 bedrooms · 3 beds · 2 baths,26205536,Yiannis,,ΑΜΠΕΛΟΚΗΠΟΙ,37.9923255,23.7601334,Entire home/apt,150,2,28,2023-06-18,2.89,1,350,28,00001533109
708710348307085739,Rental unit in Athina · ★4.80 · 2 bedrooms · 2 beds · 2 baths,178457686,HostPal,,ΓΚΑΖΙ,37.9776079,23.712078,Entire home/apt,126,2,30,2023-06-23,3.20,7,90,30,00001753350
708711237899959827,Condo in Athina · 1 bedroom · 2 beds · 1 bath,478139621,Ιωάννα,,ΙΛΙΣΙΑ,37.97462610000001,23.7481708,Entire home/apt,86,2,2,2023-04-30,0.24,1,32,2,00001781320
708714155465388609,Condo in Athina · ★4.50 · 1 bedroom · 1 bed · 1 bath,475247229,Παναγιώτης,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97006,23.73083,Entire home/apt,146,2,4,2022-10-04,0.42,2,0,4,00001750939
708765223345487069,Rental unit in Athina · ★3.71 · 2 bedrooms · 2 beds · 1 bath,384528225,Bnbme Greece,,ΚΕΡΑΜΕΙΚΟΣ,37.9837909,23.7154833,Entire home/apt,76,1,7,2023-06-10,1.72,4,336,7,12235337649
709085164845230674,Home in Athina · ★4.0 · 1 bedroom · 1 bed · 1 bath,337700262,Nice World,,ΘΗΣΕΙΟ,37.97571,23.71459,Entire home/apt,58,2,4,2023-06-03,0.41,2,177,4,00001718509
709150646715846115,Rental unit in Athina · ★5.0 · 1 bedroom · 2 beds · 1 bath,2718115,TopHouzzing Properties,,ΙΛΙΣΙΑ,37.9722561,23.7560458,Entire home/apt,145,2,8,2023-01-12,0.83,40,0,8,00001757357
709191387749771274,Condo in Athina · 2 bedrooms · 2 beds · 2 baths,477784406,Mint,,ΑΚΡΟΠΟΛΗ,37.96895,23.72817,Entire home/apt,230,3,0,,,1,0,0,00001395550
709203238282044143,Condo in Athina · 1 bedroom · 2 beds · 1 bath,478228704,Δημητρης,,ΚΥΨΕΛΗ,37.99978,23.73563,Entire home/apt,63,5,0,,,1,0,0,00001759117
709234723945553164,Rental unit in Athina · ★4.0 · 1 bedroom · 3 beds · 1 bath,475751897,Mint,,ΖΑΠΠΕΙΟ,37.96884,23.73815,Entire home/apt,61,1,3,2023-04-16,0.32,1,305,3,00001320194
709252191682146611,Condo in Athina · 2 bedrooms · 1 bed · 1.5 baths,478237562,Constantin,,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,37.9982,23.72797,Entire home/apt,49,1,0,,,1,296,0,01219461797
709480298030263978,Condo in Athina · ★5.0 · 2 bedrooms · 3 beds · 1 bath,12303025,Orestis,,ΘΗΣΕΙΟ,37.97549366240814,23.71343605220318,Entire home/apt,67,2,7,2023-05-29,1.19,4,293,7,00001770580
709787065053236323,Rental unit in Athina · ★3.0 · 1 bedroom · 2 beds · Half-bath,475759819,Mint,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.98663,23.73738,Entire home/apt,61,1,3,2022-10-24,0.32,1,0,3,00000982856
709799053375143089,Rental unit in Athina · ★3.67 · 2 bedrooms · 3 beds · 1 bath,475745717,Mint,,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.96384,23.7205,Entire home/apt,61,2,12,2023-06-01,1.40,1,33,12,00001565857
709813775490055589,Rental unit in Athina · 2 bedrooms · 4 beds · 1 bath,475760530,Mint,,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.96234,23.71975,Entire home/apt,90,1,0,,,1,168,0,00000614983
709853613112097979,Rental unit in Athina · ★4.60 · 1 bedroom · 1 bed · 1 bath,168852736,Ran,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97369,23.73396,Entire home/apt,61,1,25,2023-06-09,2.77,2,64,25,00001857227
709864553972862406,Condo in Athina · 1 bedroom · 2 beds · 1 bath,428201678,Goldally,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.98987,23.72514,Entire home/apt,60,3,1,2022-12-18,0.16,24,344,1,00001794398
709876046337122122,Condo in Athina · 2 bedrooms · 2 beds · 1 bath,428201678,Goldally,,ΝΙΡΒΑΝΑ,38.00475,23.72475,Entire home/apt,70,3,1,2022-11-22,0.14,24,347,1,00001845096
709899751123853779,Home in Athina · ★4.17 · 2 bedrooms · 2 beds · 1.5 baths,236683970,Kefi,,ΝΕΟΣ ΚΟΣΜΟΣ,37.96624,23.73189,Entire home/apt,127,1,12,2023-05-06,1.28,2,115,12,00001802825
709927179977206526,Condo in Athina · 1 bedroom · 3 beds · 1 bath,249516987,Kyriakos,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.9759147,23.7330768,Entire home/apt,210,2,2,2022-10-07,0.22,1,47,2,00001725326
710050558288602271,Condo in Athina · ★5.0 · 1 bedroom · 1 bed · 1 bath,159612333,Akis,,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.9633,23.72418,Entire home/apt,84,2,12,2022-11-06,1.24,1,0,12,00001751659
710067679801258405,Condo in Athina · 1 bedroom · 2 beds · 1 bath,83152426,Tasos,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.99004,23.72914,Entire home/apt,70,1,0,,,1,176,0,00001759239
710105899025426965,Condo in Athina · ★5.0 · 2 bedrooms · 2 beds · 1 bath,461003603,Αλέξανδρος,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.985660966383875,23.74028462916613,Entire home/apt,70,1,3,2022-10-06,0.31,1,0,3,00001759202
710176573017803867,Condo in Athina · 1 bedroom · 1 bed · 1.5 shared baths,87145921,Stelios,,ΝΕΟΣ ΚΟΣΜΟΣ,37.96246,23.72651,Private room,23,3,2,2022-10-25,0.23,2,360,2,
710261494313012386,Condo in Athina · ★4.50 · 1 bedroom · 2 beds · 1 bath,478460133,Irina,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.99069,23.72788,Entire home/apt,55,3,6,2023-06-20,0.64,1,342,6,00001763353
710479047581700538,Rental unit in Athina · 1 bedroom · 1 bed · 1 bath,53824000,Leonidas,,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.96604,23.72423,Entire home/apt,118,1,0,,,27,310,0,00001657875
710492534078507990,Rental unit in Athina · ★5.0 · 1 bedroom · 1 bed · 1 bath,475753936,Mint,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97931,23.72592,Entire home/apt,69,2,8,2023-05-29,0.83,2,339,8,00001539980
710495739516734055,Rental unit in Athina · ★4.40 · 1 bedroom · 1 bed · 1 bath,475753936,Mint,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97896,23.72639,Entire home/apt,72,2,10,2023-05-19,1.11,2,346,10,1550015
